10 224.5 0 1680 7 240
[9741.58, 5135.45, 6926.03, 5951.92, 8517.74, 1436.69, 7329.03, 8637.43, 8256.44, 2931.01]
[2026.24, 2545.0, 7238.63, 7006.77, 4719.87, 7492.57, 3882.62, 5264.13, 7768.85, 4225.0]
[9, 5, 7, 6, 8, 2, 7, 8, 8, 3]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[1, 1, 3, 2, 3, 1, 3, 3, 3, 2]
[2, 1, 1, 3, 1, 2, 1, 1, 1, 2]
[6, 8, 3, 2, 4, 4, 9, 5, 8, 9]
[2237.83, 3094.19, 3702.68, 2037.45, 2059.75, 2045.76, 3952.27, 1351.8, 3287.75, 3838.3]
[0.25, 0.78, 0.13, 0.67, 0.16, 0.16, 0.46, 0.6, 0.79, 0.57]
[1.05, 0.82, 0.7, 0.51, 0.86, 0.79, 0.96, 0.71, 0.51, 0.54]
[1.08, 0.72, 0.95, 0.61, 0.96, 0.9, 0.73, 0.86, 0.77, 0.57]
[0.68, 0.59, 0.52, 0.59, 1.0, 0.57, 1.1, 0.73, 0.8, 0.89]
[1.03, 0.76, 0.87, 0.57, 0.92, 0.82, 0.96, 0.55, 0.57, 0.64]
[0.8, 0.99, 1.03, 0.76, 0.61, 0.55, 0.71, 1.09, 0.69, 0.64]
[0.64, 0.26, 0.31, 0.08, 0.46, 0.18, 0.52, 0.26, 0.12, 0.11]
[259.36, 278.09, 872.91, 541.65, 309.9, 296.26, 609.55, 513.74, 253.92, 493.53]
[168.9, 80.58, 259.01, 44.93, 145.07, 53.95, 334.53, 126.89, 30.77, 60.49]
[796.8, 890.47, 3864.57, 2208.26, 1049.52, 981.28, 2547.74, 2068.7, 769.62, 1967.66]
[344.52, -97.08, 795.03, -275.36, 225.33, -230.27, 1172.65, 134.46, -346.17, -197.57]
[44.76, 61.88, 148.11, 61.12, 82.39, 40.92, 158.09, 54.07, 131.51, 115.15]
[6, 8, 31, 11, 17, 5, 33, 11, 28, 21]
[67, 19, 214, 127, 193, 176, 38, 140, 38, 67]
[91, 240, 240, 151, 217, 200, 240, 240, 62, 240]
2
[0.0, 0.0]
[0.0, 10000.0]
[[0.0, 21.0, 21.0, 12.0, 21.0, 19.0, 21.0, 16.0, 18.0, 21.0, 24.0, 11.0], [21.0, 0.0, 27.0, 19.0, 16.0, 14.0, 21.0, 6.0, 20.0, 21.0, 18.0, 14.0], [21.0, 27.0, 0.0, 10.0, 13.0, 13.0, 6.0, 21.0, 6.0, 7.0, 13.0, 15.0], [12.0, 19.0, 10.0, 0.0, 11.0, 10.0, 9.0, 13.0, 5.0, 9.0, 13.0, 6.0], [21.0, 16.0, 13.0, 11.0, 0.0, 2.0, 6.0, 12.0, 7.0, 6.0, 3.0, 11.0], [19.0, 14.0, 13.0, 10.0, 2.0, 0.0, 7.0, 10.0, 7.0, 7.0, 5.0, 9.0], [21.0, 21.0, 6.0, 9.0, 6.0, 7.0, 0.0, 16.0, 3.0, 1.0, 6.0, 12.0], [16.0, 6.0, 21.0, 13.0, 12.0, 10.0, 16.0, 0.0, 15.0, 16.0, 14.0, 8.0], [18.0, 20.0, 6.0, 5.0, 7.0, 7.0, 3.0, 15.0, 0.0, 4.0, 8.0, 9.0], [21.0, 21.0, 7.0, 9.0, 6.0, 7.0, 1.0, 16.0, 4.0, 0.0, 5.0, 12.0], [24.0, 18.0, 13.0, 13.0, 3.0, 5.0, 6.0, 14.0, 8.0, 5.0, 0.0, 14.0], [11.0, 14.0, 15.0, 6.0, 11.0, 9.0, 12.0, 8.0, 9.0, 12.0, 14.0, 0.0]]
