70 1706.38 0 1680 7 240
[430.8, 2796.35, 231.86, 3651.31, 3944.29, 3061.39, 5970.19, 5176.87, 1508.21, 2600.21, 9135.47, 3922.94, 5872.66, 5069.0, 4997.86, 8341.37, 6172.84, 4005.26, 8174.55, 5308.94, 1476.23, 6921.63, 9379.27, 2745.0, 6934.66, 735.19, 6228.31, 6159.15, 7060.69, 6134.38, 328.33, 7242.12, 8472.24, 9716.22, 5886.62, 6388.99, 587.12, 4769.93, 1826.39, 1549.22, 1852.68, 6942.69, 9662.57, 7440.0, 7190.43, 2511.15, 6136.36, 7248.02, 613.09, 5236.7, 8080.63, 823.5, 3828.36, 485.02, 5113.84, 5320.26, 7296.62, 2775.32, 6430.91, 1372.25, 5036.43, 773.48, 2986.72, 7423.41, 9732.89, 6241.53, 5279.65, 7256.31, 3084.47, 586.9]
[2127.84, 4302.62, 7475.19, 7842.1, 4038.42, 4544.24, 7410.7, 5557.33, 3899.39, 3724.68, 7782.85, 3638.52, 5044.5, 5892.82, 7721.07, 5545.83, 4173.1, 6957.15, 7367.51, 3904.39, 4336.93, 3874.64, 3903.61, 7422.42, 6283.31, 4482.79, 5556.62, 2496.31, 6163.68, 6936.16, 3047.69, 3255.44, 6444.0, 6393.61, 4646.66, 2410.67, 5470.96, 2216.27, 3894.17, 6977.12, 2828.39, 2943.3, 3430.17, 6374.02, 6722.15, 2408.0, 4482.77, 7628.34, 5347.02, 7316.58, 4612.95, 7243.7, 5276.33, 5920.56, 4157.27, 6560.06, 3950.4, 4080.22, 6813.88, 2197.75, 4159.86, 2499.46, 3843.61, 3536.98, 4173.54, 7726.86, 6685.57, 6734.52, 3203.9, 4925.61]
[1, 3, 1, 4, 4, 3, 6, 5, 2, 3, 9, 4, 6, 5, 5, 8, 6, 4, 8, 5, 2, 7, 9, 3, 7, 1, 6, 6, 7, 6, 1, 7, 8, 9, 6, 6, 1, 5, 2, 2, 2, 7, 9, 7, 7, 3, 6, 7, 1, 5, 8, 1, 4, 1, 5, 5, 7, 3, 6, 2, 5, 1, 3, 7, 9, 6, 5, 7, 3, 1]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]
[2, 2, 2, 3, 3, 2, 1, 3, 3, 2, 2, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 2, 3, 2, 1, 1, 3, 1, 2, 3, 3, 2, 1, 1, 2, 3, 3, 3, 3, 3, 2, 3, 3, 2, 1, 3, 2, 3, 3, 2, 3, 2, 3, 3, 3, 2, 1, 3, 3, 2, 2, 3, 2, 1, 3, 3, 2, 2]
[1, 1, 1, 2, 2, 1, 1, 3, 2, 1, 2, 2, 1, 3, 3, 1, 1, 2, 1, 3, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 3, 1, 1, 2, 1, 3, 3, 2, 1, 1, 2, 3, 1, 1, 2, 2, 1, 3, 2, 1, 1]
[1, 5, 9, 7, 6, 7, 9, 7, 1, 3, 7, 8, 6, 1, 1, 3, 4, 3, 7, 10, 5, 4, 4, 10, 3, 10, 10, 9, 10, 3, 2, 5, 2, 3, 1, 5, 6, 8, 7, 7, 9, 9, 5, 1, 10, 5, 3, 2, 5, 9, 9, 5, 6, 5, 3, 7, 7, 3, 2, 4, 9, 5, 3, 5, 9, 8, 9, 5, 2, 4]
[3130.05, 3750.8, 3150.21, 3923.72, 3255.05, 3141.72, 3862.93, 3798.77, 3056.96, 1385.56, 2864.21, 3722.89, 2820.63, 2811.51, 2693.11, 1228.71, 3379.98, 1318.2, 3361.82, 1658.79, 3743.82, 3343.12, 3560.3, 1277.33, 1362.38, 1354.58, 1106.78, 3706.49, 1647.34, 1352.71, 3405.39, 3515.24, 3207.82, 1329.54, 3067.57, 3307.78, 3660.12, 4149.57, 3305.96, 3784.83, 4267.22, 4235.15, 3599.16, 3576.22, 1416.6, 3158.04, 1173.96, 3547.1, 3742.13, 2648.92, 4381.97, 2902.49, 3024.07, 4161.67, 1278.98, 2980.99, 3302.78, 1195.83, 1086.83, 3491.06, 4136.17, 2642.58, 1294.22, 3095.17, 2796.33, 3004.54, 2868.16, 2634.36, 1717.66, 3351.39]
[0.11, 0.1, 0.36, 0.35, 0.91, 0.3, 0.61, 0.38, 0.07, 0.33, 0.27, 0.63, 0.87, 0.05, 0.04, 0.48, 0.27, 0.5, 0.32, 0.15, 0.5, 0.33, 0.4, 0.17, 0.28, 0.15, 0.12, 0.8, 0.1, 0.32, 0.93, 0.14, 0.93, 0.44, 0.06, 0.25, 0.84, 0.23, 0.34, 0.34, 0.67, 0.83, 0.44, 0.1, 0.1, 0.69, 0.28, 0.93, 0.09, 0.55, 0.46, 0.26, 0.82, 0.65, 0.5, 0.3, 0.28, 0.42, 0.93, 0.38, 0.35, 0.28, 0.26, 0.41, 0.85, 0.51, 0.59, 0.24, 0.93, 0.28]
[0.51, 0.82, 0.76, 1.02, 0.83, 0.79, 0.77, 1.07, 1.07, 0.54, 0.8, 0.89, 0.79, 0.56, 1.07, 0.8, 0.69, 0.88, 1.05, 0.78, 0.82, 1.06, 0.81, 1.07, 0.64, 0.56, 0.77, 0.58, 1.03, 0.9, 0.84, 0.5, 0.91, 0.93, 0.97, 0.54, 1.0, 0.81, 0.95, 0.84, 0.99, 0.84, 1.0, 1.02, 1.09, 0.52, 0.65, 1.07, 0.57, 0.87, 0.78, 0.62, 0.73, 0.62, 0.65, 0.91, 1.09, 0.93, 0.64, 0.67, 0.59, 0.87, 0.59, 0.53, 0.56, 0.55, 0.85, 0.61, 0.67, 0.74]
