60 2425.2199999999993 0 1680 7 240
[79.16, 47.86, 85.95, 85.77, 17.33, 76.08, 85.67, 40.04, 57.71, 91.67, 89.54, 47.85, 50.54, 41.16, 76.57, 12.98, 73.61, 74.7, 47.42, 49.0, 76.1, 79.33, 15.16, 87.19, 50.51, 76.94, 82.53, 51.14, 26.38, 84.92, 47.13, 87.98, 86.51, 54.7, 14.88, 86.89, 85.49, 77.99, 8.83, 91.57, 82.16, 14.03, 44.26, 83.98, 51.52, 19.07, 81.59, 89.47, 54.9, 13.44, 13.72, 57.95, 47.75, 53.81, 54.56, 79.05, 76.47, 78.44, 45.7, 58.87]
[88.65, 17.12, 56.63, 47.16, 14.75, 10.58, 48.63, 86.07, 7.97, 25.67, 13.14, 88.25, 12.28, 79.54, 57.88, 13.61, 77.87, 58.07, 77.14, 90.01, 53.19, 84.98, 43.93, 14.93, 45.06, 58.64, 75.2, 80.35, 58.81, 49.98, 53.4, 56.61, 87.14, 7.96, 88.82, 18.04, 44.54, 48.25, 78.97, 92.72, 90.4, 57.98, 89.8, 50.12, 86.53, 46.2, 45.16, 43.42, 84.35, 93.19, 47.27, 56.51, 76.46, 57.57, 75.13, 18.37, 17.96, 91.54, 74.31, 10.3]
[9, 2, 6, 6, 1, 3, 6, 8, 2, 3, 3, 8, 2, 8, 6, 1, 9, 6, 8, 8, 6, 9, 4, 3, 5, 6, 9, 8, 4, 6, 5, 6, 9, 2, 7, 3, 6, 6, 7, 9, 9, 4, 8, 6, 8, 4, 6, 6, 8, 7, 4, 5, 8, 5, 8, 3, 3, 9, 8, 2]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]
[1, 2, 2, 2, 3, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 3, 1, 2, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 3, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 3, 1, 2, 1, 3, 2, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2]
[3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
[6, 6, 4, 5, 9, 7, 9, 7, 10, 10, 5, 1, 3, 5, 4, 8, 2, 6, 9, 5, 3, 9, 7, 6, 9, 6, 8, 4, 3, 10, 4, 1, 4, 7, 6, 5, 2, 6, 10, 4, 9, 10, 8, 4, 3, 7, 3, 1, 2, 9, 1, 6, 10, 5, 3, 6, 7, 2, 6, 9]
[4164.92, 4634.69, 2971.13, 2108.14, 3831.88, 1876.31, 4285.88, 2464.13, 2855.29, 3385.04, 2201.96, 3410.86, 3794.72, 2413.7, 2448.94, 3995.87, 3497.35, 4767.77, 4726.06, 2109.62, 2771.06, 4428.42, 1685.32, 4466.12, 3300.78, 4815.16, 3419.14, 2298.33, 2265.79, 1850.71, 2271.24, 2563.16, 2680.42, 1996.34, 4346.01, 2629.76, 3425.48, 4240.18, 1851.59, 2443.31, 4182.75, 2983.34, 3365.05, 2335.21, 3592.27, 2569.16, 2980.31, 3237.3, 3488.9, 3294.27, 2826.82, 4267.31, 2896.41, 2196.18, 2431.15, 4694.95, 3482.31, 3528.66, 4567.98, 3139.87]
[0.32, 0.06, 0.54, 0.59, 0.38, 0.06, 0.31, 0.22, 0.36, 0.41, 0.51, 0.57, 0.97, 0.59, 0.41, 0.48, 0.25, 0.11, 0.3, 0.58, 0.99, 0.33, 0.39, 0.13, 0.28, 0.09, 0.7, 0.17, 0.99, 0.5, 0.21, 0.43, 0.52, 0.31, 0.14, 0.5, 0.13, 0.25, 0.4, 0.75, 0.32, 0.51, 0.42, 0.63, 0.95, 0.34, 0.95, 0.53, 0.17, 0.38, 0.38, 0.19, 0.43, 0.55, 0.95, 0.07, 0.07, 0.1, 0.16, 0.47]
[0.74, 0.9, 0.54, 1.08, 0.73, 0.62, 1.1, 0.75, 0.68, 1.09, 0.69, 0.63, 0.71, 0.5, 0.58, 1.04, 1.04, 1.03, 1.04, 0.75, 0.98, 0.79, 0.75, 0.88, 0.74, 1.05, 0.54, 0.51, 1.04, 0.75, 0.72, 0.91, 0.97, 0.63, 0.98, 0.5, 0.64, 0.64, 0.81, 0.8, 1.05, 0.84, 0.83, 0.71, 1.05, 0.62, 1.0, 0.95, 1.04, 0.99, 1.07, 0.74, 0.58, 1.04, 1.05, 0.83, 0.64, 1.08, 1.05, 0.78]
