50 2691.7884428453167 0 1680 1 1680
[14.260723504754214, 54.299449944533016, 41.96663815708303, 24.451583955321816, 89.57624222937972, 75.01254106854155, 50.49959996967699, 93.09691551045945, 92.93953449862897, 7.371315350741404, 80.1063008778007, 76.69540360737722, 75.0830394991728, 74.97293063557713, 46.44100077710508, 41.934201722007536, 59.26641429791742, 21.26915444261475, 84.27092072679743, 10.602967769300761, 59.78646806461474, 45.14454986567944, 17.99278148905575, 75.91458356587701, 50.05101945142048, 48.757115410428675, 80.5823113256161, 47.44088655718859, 92.28057967018808, 20.524738617290144, 88.57345072657911, 22.32551454030793, 76.91277156292388, 89.95981665098682, 88.35457715099065, 20.419282904691176, 53.82953058851773, 83.1654892167398, 23.114076698944764, 49.236929537658526, 74.7640268116777, 84.92068780352211, 45.8291048260464, 80.37249612489457, 80.31193284690868, 53.094089217951606, 58.86194740766193, 8.275450143938912, 7.629101011035334, 52.687819307461]
[21.941201112726397, 10.117483866812444, 58.96832417993541, 42.38417816383737, 16.266143987094203, 92.27414053838663, 52.265348044865505, 51.71051712734359, 8.902939935053244, 54.636544763314745, 58.63765876885802, 50.702715596910025, 45.4921731403927, 83.72522083384858, 56.06092061122274, 7.07402166893481, 14.666764122239956, 89.39389219613415, 43.76315411190488, 57.79728371559271, 54.802823123021234, 24.986499432494213, 17.814408472895288, 42.7661185367554, 16.86484477836078, 13.547077448018104, 46.74546213968001, 79.09775420783777, 41.99437923502585, 83.10849294590699, 9.151939913604634, 46.45626576407781, 17.132951837679435, 12.013101137509391, 48.062470068984936, 11.69976540030546, 24.58651720115187, 54.06041957988348, 43.8342448822587, 21.148336596920217, 86.6705801109206, 58.34577672685885, 83.15385390134956, 19.748955939102444, 58.15166150972372, 90.94124929967055, 79.06000594629477, 18.161347052902954, 59.18076896779823, 19.277173825933062]
[1, 2, 5, 4, 3, 9, 5, 6, 3, 4, 6, 6, 6, 9, 5, 2, 2, 7, 6, 4, 5, 2, 1, 6, 2, 2, 6, 8, 6, 7, 3, 4, 3, 3, 6, 1, 2, 6, 4, 2, 9, 6, 8, 3, 6, 8, 8, 1, 4, 2]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]
[2, 2, 1, 3, 2, 3, 1, 3, 2, 3, 3, 3, 3, 3, 1, 2, 2, 1, 3, 3, 1, 2, 2, 3, 2, 2, 3, 2, 3, 1, 2, 3, 2, 2, 3, 2, 2, 3, 3, 2, 3, 3, 2, 2, 3, 2, 2, 2, 3, 2]
[1, 2, 2, 1, 3, 3, 2, 1, 3, 1, 1, 1, 1, 3, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 3, 1, 1, 3, 1, 3, 3, 1, 1, 2, 1, 1, 2, 3, 1, 3, 3, 1, 3, 3, 1, 1, 2]
[9, 3, 3, 1, 10, 8, 8, 8, 1, 8, 1, 1, 8, 7, 9, 5, 2, 4, 9, 3, 10, 10, 5, 8, 8, 7, 10, 9, 10, 4, 7, 5, 5, 5, 9, 4, 5, 8, 9, 7, 3, 2, 7, 3, 4, 8, 8, 7, 1, 1]
[4231.55319499314, 1835.9869271939306, 1739.218205270666, 4018.603696102644, 3989.810008948235, 1952.6723027356704, 3501.665136818482, 3604.856169159346, 3023.609869660573, 4503.611645360743, 3370.7924237671828, 1873.4456269199154, 2701.804715993822, 4908.334434489953, 4074.810901369051, 3258.8782846780077, 2762.072283476967, 2535.2561732442896, 3888.657160303832, 1817.6328520529391, 4312.767422720072, 3596.6685121795635, 2832.036600216871, 2158.1331555523425, 4110.098818505692, 4157.703250836537, 4515.091718485762, 4363.526388776941, 3452.355173313917, 2240.3408138165237, 4807.164037235272, 3003.753769947466, 2976.7870369150946, 3562.9847296424987, 3987.666837859219, 2334.2999566804265, 3575.4256821389936, 2875.539780554185, 4192.2880159098, 4583.3655359500335, 1774.0753549911628, 2683.5546100192432, 4564.773142219368, 1820.366803619295, 2311.6920777421833, 2268.7460484907465, 1882.0189376818826, 4505.943141739173, 3451.8986327065886, 2744.091023791904]
[0.11744240558270722, 0.7503763289713323, 0.7641282788134613, 0.5492362217812625, 0.8023164023316922, 0.4186462358976777, 0.43292437233379466, 0.37664602915353845, 0.460936063490236, 0.41920357712974954, 0.3591588691605405, 0.17057887958808624, 0.38675331492645104, 0.46968989214380447, 0.07649160702782547, 0.3708076702525403, 0.17820935602167556, 0.3720416982791153, 0.10072839778956924, 0.7561928138816166, 0.683284026111342, 0.6565855778719419, 0.404918538157766, 0.3743080119016175, 0.4120778113428713, 0.2833067962499449, 0.6407257584307262, 0.06951711539274338, 0.8575405201440649, 0.4905784408429239, 0.3402654910832695, 0.4140113466444137, 0.536105226603669, 0.5469893812138578, 0.09046834087710103, 0.5466020717500756, 0.4500478795396711, 0.3907567056758336, 0.07978696158738995, 0.40058662943349943, 0.7670383254665472, 0.29495886669523735, 0.3118140023800273, 0.762752183816813, 0.3682815818750555, 0.3939878824881067, 0.40350647967498604, 0.4318848787737246, 0.18289870714649387, 0.11788540352337587]
[0.8106812733463123, 0.618287371354123, 0.6991415948030579, 0.9155252630107726, 1.0171896730135077, 0.7664760378783952, 1.0253896423371325, 0.5320490639846925, 0.7203627989087628, 0.5141880251997611, 1.0141658139264371, 0.550207124980422, 0.5290585967754189, 0.892191313739908, 0.903267358719777, 0.5019884713071756, 0.5715968947965548, 0.945228100898875, 0.9485690455371183, 0.9394670334823267, 0.9108785606756482, 0.867678766831854, 0.9843528263680907, 1.0601967389089837, 0.6612021131539196, 0.5229915851044256, 0.7178405886046185, 0.7960408475665455, 1.0818232449016159, 0.7201951349726469, 0.6682878988115409, 0.5581884334727868, 0.7196331227587011, 0.7037957853476151, 0.8066048721741291, 0.5756042589177023, 0.8460219428397594, 0.9425964087054122, 0.6164938676134742, 0.5984876665988373, 0.8636711213933459, 0.7455680925908744, 0.5646311910110282, 0.5633769931350939, 0.7209437313625218, 0.6669603644902442, 0.9398475726099429, 0.5032094237280923, 0.6031752792074087, 0.9281769967977871]
