20 1872.09 0 1680 14 120
7.43 69.1 4.14 17.81 82.88 60.15 16.34 24.45 16.93 94.9 3.07 61.62 92.54 16.38 46.74 51.43 80.67 86.15 34.72 71.96 
58.47 16.51 85.14 28.09 35.62 66.22 63.02 70.67 50.08 65.52 18.4 27.05 82.3 49.98 18.13 72.38 23.79 20.97 83.36 39.44 
1 7 1 2 8 6 2 3 2 9 1 6 9 2 5 5 8 8 4 7 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
3 2 3 3 2 1 3 1 3 1 3 1 1 3 3 3 2 2 3 2 
3 2 3 3 3 1 3 3 3 1 3 1 1 3 3 3 3 3 1 2 
8 1 5 9 10 10 3 2 5 6 1 5 1 4 7 6 7 1 4 5 
4628.06 3697.76 4908.09 4547.89 3599.11 4457.94 4332.14 4793.88 4899.8 4097.57 3833.97 4930.08 4342.76 3452.26 4678.45 3995.83 4662.49 4315.07 3740.96 4891.92 
0.35 0.95 0.41 0.46 0.17 0.08 0.78 0.7 0.15 0.13 0.95 0.36 0.95 0.47 0.56 0.17 0.51 0.95 0.45 0.27 
0.9 0.61 0.72 0.85 0.95 0.84 0.69 0.68 0.75 0.99 1.0 0.68 0.59 0.97 0.88 0.73 0.75 0.87 0.71 0.95 
0.55 0.9 0.81 0.9 0.9 0.73 0.78 0.65 1.0 0.73 0.98 0.6 0.84 0.68 0.55 0.74 0.7 0.68 1.0 0.92 
0.79 0.92 0.77 0.52 0.74 1.0 0.97 0.98 0.78 0.8 0.81 1.0 0.84 1.0 0.67 0.99 0.73 0.59 0.81 0.84 
0.6 0.66 0.71 0.69 1.0 0.75 1.0 0.5 0.69 0.58 0.92 0.56 0.64 1.0 0.89 0.64 0.89 0.98 0.92 0.78 
0.99 0.85 0.78 1.0 0.59 0.56 0.87 0.78 0.89 0.81 0.74 0.9 1.0 1.0 0.72 0.99 1.0 0.97 0.92 0.99 
0.23 0.29 0.25 0.27 0.37 0.25 0.45 0.17 0.36 0.27 0.54 0.21 0.27 0.66 0.21 0.34 0.34 0.33 0.48 0.57 
1286.32 1237.27 885.92 787.47 1497.26 1190.29 943.13 1136.09 804.19 1407.01 1246.46 790.04 1196.08 991.22 1263.63 1403.47 1015.75 1041.48 966.74 846.37 
316.7 366.51 182.6 215.34 569.59 318.34 368.18 212.47 301.19 457.97 683.05 162.64 321.98 732.26 264.0 573.56 336.77 352.12 444.7 533.63 
5931.58 5686.35 3929.62 3437.35 6986.31 5451.46 4215.65 5180.43 3520.95 6535.06 5732.3 3450.2 5480.38 4456.08 5818.17 6517.36 4578.75 4707.4 4333.68 3731.84 
1083.52 1332.54 412.99 576.68 2347.94 1091.72 1340.92 562.36 1005.95 1789.86 2915.26 313.22 1109.88 3161.29 819.99 2367.81 1183.86 1260.59 1723.51 2168.13 
185.12 110.93 196.32 181.92 107.97 89.16 173.29 95.88 195.99 81.95 153.36 98.6 86.86 138.09 187.14 159.83 139.87 129.45 149.64 146.76 
19 10 21 19 10 6 18 6 20 5 16 7 6 14 20 17 13 12 16 13 
11 11 42 0 46 43 40 2 80 43 6 56 20 19 41 10 100 104 17 115 
107 35 102 120 120 120 120 14 120 67 54 120 56 43 120 70 120 120 29 120 
5
0.0 0.0 0.0 0.0 0.0 
100.0 100.0 0.0 100.0 0.0 
0 0 7 0 7 3 7 1 5 7 4 2 2 3 7 5 6 6 3 6 4 7 8 2 6 
0 0 7 0 7 3 7 1 5 7 4 2 2 3 7 5 6 6 3 6 4 7 8 2 6 
7 7 0 7 0 4 5 6 2 6 6 4 5 3 8 1 4 8 3 3 6 6 6 6 5 
0 0 7 0 7 3 7 1 5 7 4 2 2 3 7 5 6 6 3 6 4 7 8 2 6 
7 7 0 7 0 4 5 6 2 6 6 4 5 3 8 1 4 8 3 3 6 6 6 6 5 
3 3 4 3 4 0 5 1 2 5 3 0 1 0 6 2 4 6 0 4 3 5 6 2 4 
7 7 5 7 5 5 0 6 3 1 3 5 5 4 3 4 0 4 4 1 4 0 1 5 1 
1 1 6 1 6 1 6 0 4 6 4 1 1 2 6 4 5 6 2 5 3 7 7 2 5 
5 5 2 5 2 2 3 4 0 4 4 2 3 1 6 1 3 6 1 2 3 4 4 4 3 
7 7 6 7 6 5 1 6 4 0 2 5 4 4 2 5 1 3 4 2 3 0 1 4 0 
4 4 6 4 6 3 3 4 4 2 0 3 2 3 2 5 2 2 3 3 0 3 3 2 2 
2 2 4 2 4 0 5 1 2 5 3 0 0 0 5 3 4 5 0 3 2 5 5 1 4 
2 2 5 2 5 1 5 1 3 4 2 0 0 1 5 4 4 4 1 4 1 5 5 1 4 
3 3 3 3 3 0 4 2 1 4 3 0 1 0 5 2 3 5 0 3 2 4 5 2 4 
7 7 8 7 8 6 3 6 6 2 2 5 5 5 0 7 3 1 5 4 3 3 3 4 2 
5 5 1 5 1 2 4 4 1 5 5 3 4 2 7 0 4 7 2 3 5 5 5 5 5 
6 6 4 6 4 4 0 5 3 1 2 4 4 3 3 4 0 4 3 1 3 1 1 4 1 
6 6 8 6 8 6 4 6 6 3 2 5 4 5 1 7 4 0 5 5 3 4 4 4 3 
3 3 3 3 3 0 4 2 1 4 3 0 1 0 5 2 3 5 0 3 2 4 5 2 4 
6 6 3 6 3 4 1 5 2 2 3 3 4 3 4 3 1 5 3 0 3 2 2 4 2 
4 4 6 4 6 3 4 3 3 3 0 2 1 2 3 5 3 3 2 3 0 4 4 1 2 
7 7 6 7 6 5 0 7 4 0 3 5 5 4 3 5 1 4 4 2 4 0 0 5 1 
8 8 6 8 6 6 1 7 4 1 3 5 5 5 3 5 1 4 5 2 4 0 0 5 1 
2 2 6 2 6 2 5 2 4 4 2 1 1 2 4 5 4 4 2 4 1 5 5 0 4 
6 6 5 6 5 4 1 5 3 0 2 4 4 4 2 5 1 3 4 2 2 1 1 4 0 
