70 2696.38 0 1680 7 240
[1454.85, 5949.12, 4258.01, 1657.6, 2537.1, 4942.27, 1283.45, 9258.45, 6066.53, 3545.22, 8244.32, 516.38, 9598.15, 8079.63, 4566.42, 592.45, 8585.32, 9351.16, 6551.63, 768.75, 3160.74, 268.19, 3120.49, 2708.24, 5162.26, 7948.92, 708.33, 9451.39, 8611.49, 3593.62, 2627.72, 8720.53, 814.72, 9603.13, 2876.46, 9416.06, 9467.74, 7138.09, 9821.69, 9810.33, 5345.4, 1584.99, 8646.23, 8419.68, 3509.99, 9248.01, 7899.09, 2728.16, 6485.28, 2055.6, 7558.85, 4177.74, 449.38, 1608.41, 4661.69, 7932.2, 3061.39, 6531.16, 8075.69, 1575.16, 419.18, 7496.12, 9701.31, 4188.67, 3140.76, 3148.16, 3037.76, 3553.57, 8055.19, 4666.78]
[8259.26, 4291.24, 1072.6, 6301.15, 7938.25, 6697.07, 8042.81, 5929.46, 6252.94, 5518.95, 8575.22, 6610.28, 8777.31, 8920.56, 3392.44, 7085.58, 3263.14, 2448.82, 3650.26, 1973.85, 6160.15, 7410.95, 1754.41, 6367.71, 1851.39, 1796.14, 1403.39, 6168.43, 3550.05, 4642.47, 8396.83, 2463.87, 5825.0, 5577.83, 6168.75, 8248.02, 3410.53, 8953.97, 8857.15, 5996.5, 4533.24, 7066.57, 3407.72, 3071.72, 3145.15, 2465.16, 4352.24, 1013.54, 1561.14, 7569.63, 4686.48, 8578.55, 2433.12, 7227.06, 7103.21, 6204.44, 1062.13, 2445.2, 7395.65, 3215.23, 8027.2, 6710.23, 1770.32, 8217.83, 7466.53, 6336.24, 4365.88, 1736.83, 3059.67, 4469.57]
[2, 6, 4, 2, 3, 5, 2, 9, 6, 4, 8, 1, 9, 8, 5, 1, 8, 9, 6, 1, 3, 1, 3, 3, 5, 8, 1, 9, 8, 4, 3, 8, 1, 9, 3, 9, 9, 7, 9, 9, 5, 2, 8, 8, 4, 9, 8, 3, 6, 2, 7, 4, 1, 2, 5, 8, 3, 6, 8, 2, 1, 7, 9, 4, 3, 3, 3, 4, 8, 5]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]
[3, 1, 1, 3, 1, 1, 3, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 2, 1, 3, 1, 1, 1, 2, 1, 1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1]
[3, 2, 2, 3, 3, 1, 3, 2, 2, 2, 3, 2, 2, 3, 1, 2, 3, 2, 2, 2, 3, 2, 3, 3, 1, 3, 2, 2, 3, 2, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 1, 3, 3, 3, 2, 2, 3, 3, 2, 3, 2, 2, 2, 3, 1, 3, 3, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 2, 3, 1]
[4, 10, 8, 10, 9, 6, 8, 9, 4, 1, 7, 5, 4, 7, 6, 6, 7, 7, 5, 9, 6, 3, 8, 4, 3, 2, 8, 8, 3, 4, 10, 4, 7, 5, 8, 9, 5, 6, 7, 9, 4, 3, 5, 6, 3, 10, 10, 2, 7, 4, 6, 8, 7, 1, 7, 8, 3, 2, 5, 1, 10, 5, 4, 8, 7, 1, 5, 10, 1, 4]
[4127.08, 3686.14, 3985.87, 3613.79, 3769.19, 4849.53, 4001.36, 3835.13, 4213.42, 4238.46, 3135.59, 3749.53, 4085.61, 3139.32, 4864.75, 4800.51, 3139.42, 3135.73, 4170.1, 4059.55, 4840.25, 3750.42, 3989.34, 4152.34, 3823.25, 4647.84, 3981.88, 3981.04, 3685.57, 3998.55, 3553.94, 4086.2, 3137.4, 4302.68, 3983.76, 3451.48, 4413.69, 4875.01, 3140.44, 4367.83, 4056.47, 3703.55, 4171.84, 4844.79, 3691.19, 3617.36, 3589.93, 4611.78, 3136.93, 4166.89, 4803.07, 4007.08, 3136.29, 4099.74, 3138.36, 4016.42, 3682.08, 4594.09, 3698.45, 3539.94, 3724.3, 3947.25, 3985.7, 3986.75, 3137.46, 3942.03, 3590.27, 3646.32, 3880.0, 4099.37]
[0.85, 0.68, 0.25, 0.68, 0.67, 0.69, 0.25, 0.6, 0.81, 0.7, 0.17, 0.31, 0.85, 0.16, 0.7, 0.68, 0.24, 0.08, 0.44, 0.53, 0.71, 0.29, 0.24, 0.89, 0.45, 0.11, 0.25, 0.24, 0.44, 0.93, 0.66, 0.85, 0.23, 0.33, 0.24, 0.67, 0.76, 0.71, 0.16, 0.94, 0.9, 0.4, 0.62, 0.72, 0.31, 0.69, 0.68, 0.31, 0.19, 0.85, 0.69, 0.24, 0.14, 0.28, 0.14, 0.24, 0.4, 0.43, 0.28, 0.41, 0.69, 0.78, 0.9, 0.26, 0.18, 0.31, 0.51, 0.67, 0.4, 0.82]
[0.68, 1.03, 0.52, 0.74, 0.97, 1.1, 0.75, 1.08, 0.57, 0.85, 0.57, 0.5, 1.06, 0.94, 1.06, 0.56, 0.91, 0.76, 0.93, 0.9, 0.69, 0.65, 0.56, 0.51, 0.88, 0.63, 0.64, 0.91, 0.51, 1.06, 0.5, 0.89, 0.62, 1.06, 0.76, 0.69, 0.5, 0.61, 1.02, 0.56, 0.72, 0.78, 1.04, 0.59, 0.84, 0.51, 0.74, 0.64, 0.61, 0.87, 0.69, 0.64, 0.54, 0.86, 0.54, 0.62, 0.73, 1.03, 1.02, 1.07, 0.59, 1.1, 1.03, 0.76, 0.6, 0.92, 0.91, 0.86, 0.79, 0.67]
