10 385.45 0 1680 28 60
3475.39 2696.89 7172.45 9364.21 5964.25 7286.57 8452.52 2054.93 6413.66 6935.13
5098.76 4214.42 6642.39 3207.36 7178.38 3632.19 5558.8 8726.26 3105.33 7534.45
4 3 7 9 6 7 8 2 6 7
1 2 3 4 5 6 7 8 9 10
2 3 1 1 1 1 1 1 1 1
2 2 1 1 3 1 2 3 3 1
1 5 6 10 4 6 4 1 10 5
3863.66 4674.28 4558.96 4205.83 3518.4 4466.78 3700.64 3724.02 4274.61 4587.68
0.43 0.92 0.64 0.73 0.95 0.81 0.61 0.28 0.91 0.87
0.59 0.69 0.59 0.85 0.61 0.7 0.7 0.86 0.76 0.67
0.65 0.8 0.67 1.0 0.91 0.97 1.0 0.69 0.95 0.72
0.51 0.83 0.71 0.88 0.57 0.85 0.85 0.99 0.93 0.72
0.89 0.67 0.72 0.75 0.82 0.99 0.69 0.87 0.86 1.0
0.9 0.74 0.89 0.55 0.64 0.74 0.79 1.0 1.0 0.74
0.15 0.23 0.18 0.34 0.16 0.42 0.34 0.53 0.6 0.26
928.22 1178.27 800.81 1247.06 1978.09 1189.98 1736.58 1095.95 1171.37 1299.21
130.3 286.94 145.35 437.19 342.2 511.86 567.8 591.14 699.03 319.36
4141.12 5391.37 3504.03 5735.28 9390.45 5449.91 8182.92 4979.77 5356.87 5996.07
151.52 934.69 226.75 1685.95 1211.02 2059.3 2339.0 2455.71 2995.17 1096.8
115.91 186.97 91.18 84.12 70.37 89.34 74.01 74.48 85.49 91.75
5 10 3 3 2 3 2 2 3 3
1 59 19 11 24 23 18 11 27 38
60 60 60 31 60 56 60 60 60 57
2
0.0 0.0
10000.0 0.0
0.0 5.0 3.0 3.0 4.0 6.0 3.0 5.0 5.0 1.0 5.0 4.0
5.0 0.0 3.0 3.0 5.0 5.0 5.0 4.0 5.0 5.0 4.0 5.0
3.0 3.0 0.0 1.0 2.0 3.0 2.0 2.0 3.0 2.0 2.0 2.0
3.0 3.0 1.0 0.0 3.0 3.0 2.0 2.0 3.0 2.0 2.0 3.0
4.0 5.0 2.0 3.0 0.0 2.0 1.0 2.0 1.0 3.0 2.0 0.0
6.0 5.0 3.0 3.0 2.0 0.0 3.0 1.0 1.0 5.0 2.0 3.0 
3.0 5.0 2.0 2.0 1.0 3.0 0.0 2.0 2.0 2.0 2.0 1.0 
5.0 4.0 2.0 2.0 2.0 1.0 2.0 0.0 1.0 4.0 1.0 2.0 
5.0 5.0 3.0 3.0 1.0 1.0 2.0 1.0 0.0 4.0 2.0 1.0 
1.0 5.0 2.0 2.0 3.0 5.0 2.0 4.0 4.0 0.0 4.0 3.0 
5.0 4.0 2.0 2.0 2.0 2.0 2.0 1.0 2.0 4.0 0.0 2.0 
4.0 5.0 2.0 3.0 0.0 3.0 1.0 2.0 1.0 3.0 2.0 0.0
