10 584.33 0 1680 7 240
[5147.97, 3813.53, 1539.69, 8730.45, 9530.05, 5874.22, 9565.92, 2488.77, 3700.04, 1715.02]
[5421.88, 6496.02, 5542.76, 4167.47, 1413.31, 7189.03, 1385.77, 2767.54, 2354.43, 7793.73]
[5, 4, 2, 8, 9, 6, 9, 3, 4, 2]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[2, 3, 1, 2, 2, 2, 2, 2, 3, 1]
[1, 2, 3, 1, 1, 1, 1, 3, 2, 3]
[2, 6, 1, 8, 1, 5, 3, 3, 2, 2]
[3736.33, 3534.36, 4093.92, 3512.88, 3415.4, 3785.61, 4531.33, 4610.91, 3646.58, 4588.73]
[0.21, 0.26, 0.86, 0.45, 0.84, 0.61, 0.18, 0.13, 0.81, 0.58]
[0.96, 0.85, 1.01, 1.08, 0.76, 0.72, 1.08, 0.56, 0.83, 0.95]
[0.81, 0.65, 0.85, 0.72, 0.77, 0.71, 0.99, 0.87, 0.61, 0.95]
[0.51, 0.88, 0.73, 0.87, 0.86, 0.66, 0.59, 0.99, 0.7, 1.05]
[1.0, 0.9, 1.03, 1.09, 0.83, 1.1, 1.06, 0.84, 0.68, 0.65]
[1.02, 1.02, 0.66, 1.03, 0.83, 0.7, 1.08, 0.85, 1.07, 0.83]
[0.41, 0.45, 0.43, 0.75, 0.35, 0.26, 0.72, 0.35, 0.26, 0.52]
[1087.96, 1604.68, 1945.01, 1599.61, 1861.23, 669.26, 580.37, 717.42, 1344.67, 1237.26]
[461.88, 676.88, 771.97, 1222.73, 651.59, 177.41, 436.46, 250.35, 347.1, 642.76]
[4939.78, 7523.4, 9225.07, 7498.07, 8806.13, 2846.28, 2401.86, 3087.09, 6223.37, 5686.3]
[1809.38, 2884.41, 3359.87, 5613.67, 2757.95, 387.04, 1682.32, 751.76, 1235.48, 2713.81]
[112.09, 141.37, 81.88, 105.39, 102.46, 113.57, 135.94, 138.33, 145.86, 91.77]
[21, 30, 11, 20, 19, 21, 25, 26, 31, 13]
[162, 26, 72, 234, 99, 161, 158, 165, 184, 182]
[240, 50, 240, 240, 123, 240, 240, 189, 240, 206]
2
[0.0, 0.0]
[0.0, 10000.0]
[[0.0, 19.0, 14.0, 14.0, 11.0, 18.0, 18.0, 17.0, 18.0, 7.0, 8.0, 15.0], [19.0, 0.0, 13.0, 10.0, 9.0, 20.0, 24.0, 12.0, 24.0, 14.0, 16.0, 5.0], [14.0, 13.0, 0.0, 3.0, 7.0, 7.0, 11.0, 4.0, 11.0, 7.0, 6.0, 8.0], [14.0, 10.0, 3.0, 0.0, 5.0, 10.0, 14.0, 4.0, 14.0, 7.0, 8.0, 5.0], [11.0, 9.0, 7.0, 5.0, 0.0, 14.0, 17.0, 9.0, 17.0, 5.0, 7.0, 4.0], [18.0, 20.0, 7.0, 10.0, 14.0, 0.0, 5.0, 8.0, 5.0, 12.0, 10.0, 15.0], [18.0, 24.0, 11.0, 14.0, 17.0, 5.0, 0.0, 13.0, 0.0, 13.0, 11.0, 19.0], [17.0, 12.0, 4.0, 4.0, 9.0, 8.0, 13.0, 0.0, 13.0, 10.0, 10.0, 8.0], [18.0, 24.0, 11.0, 14.0, 17.0, 5.0, 0.0, 13.0, 0.0, 13.0, 11.0, 19.0], [7.0, 14.0, 7.0, 7.0, 5.0, 12.0, 13.0, 10.0, 13.0, 0.0, 2.0, 9.0], [8.0, 16.0, 6.0, 8.0, 7.0, 10.0, 11.0, 10.0, 11.0, 2.0, 0.0, 11.0], [15.0, 5.0, 8.0, 5.0, 4.0, 15.0, 19.0, 8.0, 19.0, 9.0, 11.0, 0.0]]
